county,county_fips,agency_type,agency_name,street,city
Dutchess,36027,ambulance_als,"Rhinebeck Fire Department Rescue Squad, Village of",76 East Market Street,"Rhinebeck, NY 12572"
Dutchess,36027,ambulance_als,Rhinecliff Fire District Rescue Squad,PO Box 6,"Rhinecliff, NY 12574"
Dutchess,36027,ambulance_als,Roosevelt Fire District Rescue Squad,830 Violet ave,"Hyde Park, NY 12538"
Dutchess,36027,ambulance_als,"Tivoli Fire Department, Village of",PO Box 486,"Tivoli, NY 12583"
Dutchess,36027,ambulance_als,Union Vale Fire District,PO Box 161,"Billings, NY 12510"
Dutchess,36027,ambulance_als,VA of Hudson Valley,41 Castle Point Road Bldg 8,"Wappingers Falls, NY 12590"
Dutchess,36027,ambulance_als,West Clinton Fire District,219 Hollow Road,"Staatsburg, NY 12580"
Erie,36029,ambulance_als,"Alden EMS Department, Village of",13336 Broadway,"Alden, NY 14004"
Erie,36029,ambulance_als,"Alden EMS, Town of",3311 Wende Rd,"Alden, NY 14004"
Erie,36029,ambulance_als,"Angola, Village of",41 Commercial Street,"Angola, NY 14006"
Erie,36029,ambulance_als,"Armor Volunteer Fire Company, Inc.",PO Box 971,"Hamburg, NY 14075"
Erie,36029,ambulance_als,"Big Tree Emergency Medical Services, Inc.",4112 Big Tree Road,"Hamburg, NY 14075"
Erie,36029,ambulance_als,"Blasdell Volunteer Fire Department, Village of",121 Miriam Avenue,"Blasdell, NY 14219"
Erie,36029,ambulance_als,Blossom Volunteer Fire Company,1000 North Blossom Road,"Elma, NY 14059"
Erie,36029,ambulance_als,"Boston Emergency Squad, Inc.",PO Box 92,"Boston, NY 14025"
Erie,36029,ambulance_als,"Clarence Center Volunteer Fire Company, Inc.",9415 Clarence Center Road,"Clarence Center, NY 14032"
Erie,36029,ambulance_als,Clarence Fire District #1,P.O. Box 340,"Clarence, NY 14031"
Erie,36029,ambulance_als,Colden Fire District,PO Box 34,"Colden, NY 14033"
Erie,36029,ambulance_als,"East Amherst Fire Department, Inc.",9100 Transit Road,"East Amherst, NY 14051"
Erie,36029,ambulance_als,"East Concord Fire Department, Inc",9413 Genesee Rd,"East Concord, NY 14055"
Erie,36029,ambulance_als,"East Seneca Volunteer Fire Company, Inc.",100 Lein Road,"West Seneca, NY 14224"
Erie,36029,ambulance_als,"Eden Emergency Squad, Inc.",PO Box 111,"Eden, NY 14057"
Erie,36029,ambulance_als,"Elma Volunteer Fire Company, Inc.",PO Box 3,"Elma, NY 14059"
Erie,36029,ambulance_als,Erie County Emergency Services Division of EMS,3359 Broadway Street,"Cheektowaga, NY 14227"
Erie,36029,ambulance_als,"Erie EMS, County of",3359 Broadway,"Cheektowaga, NY 14227"
Erie,36029,ambulance_als,"Evans Center Volunteer Fire Company, Inc.",8298 Erie Road,"Angola, NY 14006"
Erie,36029,ambulance_als,"Farnham Volunteer Fire Company, Inc.",526 Commercial Street,"Farnham, NY 14061"
Erie,36029,ambulance_als,Gowanda Ambulance Service Corp.,PO Box 143,"Gowanda, NY 14070"
Erie,36029,ambulance_als,"Grand Island Fire Company, Inc.",2275 Baseline Road,"Grand Island, NY 14072"
Erie,36029,ambulance_als,"Hamburg Volunteer Fire Department, Inc.",PO Box 82,"Hamburg, NY 14075"
Erie,36029,ambulance_als,"Hamburg, Town of",6100 South Park Ave,"Hamburg, NY 14075"
Erie,36029,ambulance_als,"Highland Hose Volunteer Fire Company, Inc.",P.O. Box 856,"Derby, NY 14047"
Erie,36029,ambulance_als,Holland Fire District #1,PO Box 143,"Holland, NY 14080"
Erie,36029,ambulance_als,"Jamison Road Volunteer Fire Company, Inc.",1071 Jamison Road,"Elma, NY 14059"
Erie,36029,ambulance_als,"Lake Erie Beach Volunteer Fire Company, Inc.",9483 Old Lake Shore Rd,"Angola, NY 14006"
Erie,36029,ambulance_als,"Lake Shore Volunteer Fire Company, Inc.",4591 Lake Shore Road,"Hamburg, NY 14075"
Erie,36029,ambulance_als,Lake View Fire District,PO Box 345,"Lake View, NY 14085"
Erie,36029,ambulance_als,"Lancaster Volunteer Ambulance Corps, Inc.",PO Box 164,"Lancaster, NY 14086"
Erie,36029,ambulance_als,"LaSalle Ambulance, Inc.",481 William Gaiter Parkway,"Buffalo, NY 14215"
Erie,36029,ambulance_als,"Marilla Fire Company, Inc.",PO Box 124,"Marilla, NY 14102"
Erie,36029,ambulance_als,Memorial Volunteer Fire Company of Chaffee-Sardinia,PO Box 203,"Chaffee, NY 14030"
Erie,36029,ambulance_als,"Mercy Flight, Inc.",100 Amherst Villa Rd.,"Buffalo, NY 14225"
